Global_Sales,NA_ratio,EU_ratio,JP_ratio,Name,Genre,Platform,Year_of_Release,DBSCAN_label
1.56,0.0,0.0,0.9999999993589744,Dragon Quest Monsters 2,Role-Playing,GB,2001,0
1.56,0.4358974356180145,0.2435897434335963,0.2820512818704799,Pokemon Pinball: Ruby & Sapphire,Misc,GBA,2003,0
1.55,0.5161290319250781,0.380645161044745,0.0064516128990634,MySims Kingdom,Simulation,DS,2008,0
1.55,0.4709677416316337,0.4322580642372528,0.0,LEGO Pirates of the Caribbean: The Video Game,Action,Wii,2011,0
1.55,0.4903225803288241,0.380645161044745,0.0,Stuntman,Racing,PS2,2002,0
1.55,0.5870967738147762,0.367741935246618,0.0,Tom Clancy's Rainbow Six 3,Shooter,XB,2003,0
1.55,0.6129032254110302,0.2967741933569198,0.0,LEGO Harry Potter: Years 1-4,Action,X360,2010,0
1.55,0.7290322575941726,0.245161290164412,0.0129032257981269,007: The World is not Enough,Action,N64,2000,0
1.55,0.367741935246618,0.5612903222185224,0.0129032257981269,Spider-Man 2: Enter: Electro,Action,PS,2001,0
1.55,0.5935483867138397,0.3096774191550467,0.0,Guitar Hero 5,Misc,Wii,2009,0
1.55,0.9999999993548386,0.0,0.0,Command & Conquer: Tiberian Sun,Strategy,PC,1999,0
1.55,0.3032258062559833,0.5161290319250781,0.0193548386971904,Wolfenstein: The New Order,Shooter,PS4,2014,0
1.55,0.5483870964203954,0.3548387094484911,0.0,Mafia II,Action,X360,2010,0
1.54,0.2402597401037274,0.6233766229718333,0.0,Moshi Monsters: Moshling Zoo,Misc,DS,2011,0
1.54,0.5519480515896441,0.2987012985073368,0.0129870129785798,BioShock 2,Shooter,PS3,2010,0
1.54,0.5389610386110641,0.2857142855287569,0.0519480519143194,Dark Cloud,Role-Playing,PS2,2000,0
1.54,0.3766233763788159,0.564935064568224,0.0,Warcraft III: The Frozen Throne,Strategy,PC,2003,0
1.54,0.5064935061646146,0.279220779039467,0.1233766232965086,Active Life: Outdoor Challenge,Sports,Wii,2008,0
1.54,0.9090909085005902,0.0129870129785798,0.0129870129785798,Tom Clancy's Ghost Recon Advanced Warfighter,Shooter,X360,2006,0
1.54,0.3246753244644965,0.4935064931860347,0.0259740259571597,Ratchet & Clank (2016),Platform,PS4,2016,0
1.54,0.8181818176505312,0.0454545454250295,0.0,MVP Baseball 2005,Sports,PS2,2005,0
1.54,0.5519480515896441,0.3766233763788159,0.0,Die Hard Trilogy,Shooter,PS,1996,0
1.53,0.3464052285317612,0.431372548737665,0.0849673202059037,Uncharted: Golden Abyss,Shooter,PSV,2011,0
1.53,0.2745098037421504,0.4248366010295185,0.2156862743688325,Go Vacation,Misc,Wii,2011,0
1.53,0.1176470587466358,0.4117647056132256,0.3202614376991755,Pro Evolution Soccer 2013,Sports,PS3,2012,0
1.53,0.7777777772694262,0.1895424835362467,0.0,Mortal Kombat 3,Fighting,SNES,1994,0
1.53,0.9411764699730872,0.0326797385407321,0.0,NFL GameDay 99,Sports,PS,1998,0
1.53,0.4705882349865435,0.3398692808236148,0.0261437908325857,Dishonored,Action,PS3,2012,0
1.53,0.7124183001879619,0.0980392156221965,0.1633986927036609,Mario Golf: Toadstool Tour,Sports,GC,2003,0
1.53,0.5555555551924473,0.3790849670724934,0.0,Tiger Woods 99 PGA Tour Golf,Sports,PS,1997,0
1.53,0.4183006533213721,0.4509803918621042,0.0,Call of Duty: Black Ops II,Shooter,PC,2012,0
1.52,0.4407894733942174,0.2828947366559903,0.1907894735586911,Resident Evil: The Umbrella Chronicles,Action,Wii,2007,0
1.52,0.7039473679579293,0.2565789471996191,0.0,Knockout Kings,Fighting,PS,1997,0
1.52,0.2368421051073407,0.5921052627683517,0.0,The Simpsons Skateboarding,Sports,PS2,2002,0
1.52,0.4605263154864958,0.3618421050251039,0.1052631578254847,Donkey Kong Country: Tropical Freeze,Platform,WiiU,2014,0
1.52,0.94078947306527,0.0328947368204639,0.0,NASCAR 98,Racing,PS,1996,0
1.52,0.1184210525536703,0.0394736841845567,0.8355263152397853,Xevious,Shooter,NES,1984,0
1.52,0.0,0.0,0.9999999993421052,F1 Race,Racing,NES,1984,0
1.52,0.9539473677934556,0.0263157894563711,0.0,NASCAR 99,Racing,PS,1998,0
1.52,0.5789473680401662,0.3157894734764542,0.0,Final Fantasy XIV: A Realm Reborn,Role-Playing,PC,2010,0
1.52,0.94078947306527,0.0328947368204639,0.0,NBA Live 2000,Sports,PS,1998,0
1.52,0.6052631574965374,0.2631578945637119,0.0,Fight Night Round 4,Fighting,PS3,2009,0
1.52,0.7302631574143006,0.2039473682868767,0.0394736841845567,Super Monkey Ball 2,Puzzle,GC,2002,0
1.51,0.8344370855401079,0.033112582759528,0.0,Pac-Man World 2,Action,PS2,2002,0
1.51,0.5629139069119775,0.3377483441471865,0.0066225165519056,Disney Fairies: Tinker Bell,Adventure,DS,2008,0
1.51,0.4635761586333932,0.4238410593219595,0.0066225165519056,MySims Kingdom,Simulation,Wii,2008,0
1.51,0.622516555879128,0.2913907282838472,0.0,Dead Space 2,Shooter,X360,2011,0
1.51,0.0,0.0,0.9999999993377484,Puzzle & Dragons,Role-Playing,3DS,2013,0
1.51,0.622516555879128,0.2847682117319415,0.0,Call of Duty: Modern Warfare: Reflex Edition,Shooter,Wii,2009,0
1.51,0.6158940393272225,0.0993377482785842,0.2781456951800359,Mega Man 2,Action,NES,1988,0
1.51,0.1523178806938292,0.7682119200210517,0.0,Simpsons Wrestling,Fighting,PS,2001,0
1.51,0.933774833818692,0.0397350993114337,0.0,NBA Live 98,Sports,PS,1997,0
1.51,0.2317880793166966,0.0198675496557168,0.0,The Simpsons Game,Action,PS2,2007,0
1.51,0.7814569531248629,0.1788079469014517,0.0,Monopoly,Misc,PS,1997,0
1.51,0.3708609269067146,0.5099337744967326,0.0,The Simpsons Game,Action,DS,2007,0
1.51,0.0132450331038112,0.7682119200210517,0.0,Football Manager 2012,Sports,PC,2011,0
1.51,0.397350993114337,0.311258277939564,0.1390728475900179,Ni no Kuni: Wrath of the White Witch,Role-Playing,PS3,2011,0
1.5,0.65999999956,0.2133333331911111,0.0733333332844444,SoulCalibur II,Fighting,GC,2003,0
1.5,0.3999999997333333,0.4133333330577777,0.0199999999866666,Call of Duty 3,Shooter,PS3,2006,0
1.5,0.4399999997066666,0.3466666664355555,0.0999999999333333,Tokyo Xtreme Racer Zero,Racing,PS2,2000,0
1.5,0.9399999993733332,0.0333333333111111,0.0,NFL Blitz,Sports,PS,1998,0
1.5,0.3266666664488888,0.5199999996533333,0.0,Red Faction II,Shooter,PS2,2002,0
1.5,0.7933333328044444,0.0466666666355555,0.0333333333111111,Madden NFL 2001,Sports,PS2,2000,0
1.5,0.0,0.0,0.9999999993333332,Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,Platform,NES,1986,0
1.5,0.7999999994666666,0.17999999988,0.0133333333244444,WWF No Mercy,Fighting,N64,2000,0
1.5,0.3066666664622222,0.0666666666222222,0.6133333329244445,Ice Climber,Platform,NES,1985,0
1.5,0.6666666662222221,0.2399999998399999,0.0599999999599999,Sonic CD,Platform,SCD,1993,0
1.5,0.5333333329777777,0.3266666664488888,0.0,Star Wars: The Force Unleashed II,Action,PS3,2010,0
1.5,0.8066666661288888,0.0933333332711111,0.0666666666222222,Pac-Man World,Action,PS,1998,0
1.49,0.7583892612359803,0.134228187829377,0.0,Rock Band 2,Misc,PS3,2008,0
1.49,0.4832214761857573,0.2550335568758164,0.2416107380928786,Final Fantasy: Crystal Chronicles,Role-Playing,GC,2003,0
1.49,0.6711409391468852,0.2885906038331606,0.0,Medal of Honor: Frontline,Shooter,XB,2002,0
1.49,0.8187919457592,0.0,0.0,Madden NFL 09,Sports,PS2,2008,0
1.49,0.503355704360164,0.3489932883563803,0.0604026845232196,Dead Rising 2,Action,X360,2010,0
1.49,0.5503355701004459,0.2416107380928786,0.1677852347867213,Banjo-Tooie,Platform,N64,2000,0
1.49,0.0,0.7382550330615738,0.0,Buzz! The BIG Quiz,Misc,PS2,2006,0
1.49,0.3355704695734426,0.4630872480113507,0.0268456375658754,Mafia II,Action,PS3,2010,0
1.49,0.590604026449259,0.315436241399036,0.0,Batman: Arkham Knight,Action,XOne,2015,0
1.49,0.362416107139318,0.4630872480113507,0.0134228187829377,Doom (2016),Shooter,PS4,2016,0
1.48,0.3175675673529948,0.249999999831081,0.3513513511139517,Dirge of Cerberus: Final Fantasy VII,Shooter,PS2,2006,0
1.48,0.8108108102629656,0.1689189188047845,0.0135135135043827,WWF WrestleMania 2000,Fighting,N64,1999,0
1.48,0.4729729726533966,0.2364864863266983,0.2635135133354638,Wario Land II,Platform,GB,1997,0
1.48,0.1891891890613586,0.337837837609569,0.4391891888924397,Nintendo World Cup,Sports,NES,1990,0
1.48,0.2972972970964207,0.4527027023968225,0.0,Sonic Rivals 2,Racing,PSP,2007,0
1.48,0.2905405403442293,0.5945945941928414,0.0,Bratz: Forever Diamondz,Adventure,DS,2006,0
1.48,0.4324324321402483,0.3851351348749086,0.0337837837609569,Resistance 3,Shooter,PS3,2011,0
1.48,0.6689189184669466,0.2364864863266983,0.0,Drawn To Life: SpongeBob SquarePants Edition,Adventure,DS,2008,0
1.48,0.7229729724844778,0.1891891890613586,0.0,Disney Sing It: Pop Hits,Misc,Wii,2009,0
1.48,0.5540540536796932,0.3445945943617604,0.0067567567521913,007: Quantum of Solace,Action,X360,2008,0
1.48,0.4864864861577793,0.3783783781227173,0.0,Major League Baseball 2K5,Sports,PS2,2005,0
1.48,0.7297297292366691,0.1351351350438276,0.0,Fight Night 2004,Fighting,PS2,2004,0
1.48,0.567567567184076,0.3445945943617604,0.0,LEGO Star Wars III: The Clone Wars,Action,X360,2011,0
1.48,0.5540540536796932,0.3986486483792914,0.0,Tom Clancy's Splinter Cell: Pandora Tomorrow,Action,XB,2004,0
1.47,0.353741496357999,0.5238095234531908,0.0476190475866537,LEGO City Undercover,Platform,3DS,2013,0
1.47,0.2653061222684992,0.6190476186264983,0.0,Imagine: Master Chef,Simulation,DS,2007,0
1.47,0.707482992715998,0.2517006801008838,0.0,Disney Princess,Platform,GBA,2003,0
1.47,0.4217687071960757,0.1224489795085381,0.4421768704474987,Mario Golf,Action,N64,1999,0
1.47,0.4829931969503447,0.2925170066037299,0.0476190475866537,Call of Duty Black Ops: Declassified,Action,PSV,2012,0
1.47,0.6326530607941135,0.2721088433523069,0.0136054421676153,Tom Clancy's Ghost Recon: Future Soldier,Shooter,X360,2012,0
1.47,0.9047619041464204,0.020408163251423,0.0068027210838076,Fight Night Round 3,Fighting,X360,2006,0
1.46,0.1986301368502533,0.1301369862122349,0.6095890406783636,Xenogears,Role-Playing,PS,1998,0
1.46,0.6986301365077876,0.2602739724244698,0.0,The SpongeBob SquarePants Movie,Platform,GBA,2004,0
1.46,0.726027396762995,0.1986301368502533,0.0,Super Scribblenauts,Puzzle,DS,2010,0
1.46,0.4931506845937323,0.383561643572903,0.0,Midway Arcade Treasures,Misc,PS2,2003,0
1.46,0.041095890382811,0.0616438355742165,0.8904109582942391,Dragon Quest VII: Warriors of Eden,Role-Playing,3DS,2013,0
1.46,0.6506849310611746,0.253424657360668,0.0684931506380183,Super Monkey Ball,Puzzle,GC,2001,0
1.46,0.4931506845937323,0.2739726025520735,0.0958904108932257,SoulCalibur IV,Fighting,PS3,2008,0
1.46,0.93150684867705,0.0547945205104147,0.0,Donkey Kong,Platform,2600,1981,0
1.46,0.554794520167949,0.3767123285091012,0.0,Mortal Kombat 4,Fighting,PS,1998,0
1.46,0.2397260272330643,0.4726027394023268,0.1917808217864515,New Play Control! Mario Power Tennis,Sports,Wii,2009,0
1.46,0.636986300933571,0.1643835615312441,0.1712328765950459,Mario Superstar Baseball,Sports,GC,2005,0
1.46,0.3150684929348846,0.5616438352317508,0.0,Wall-E,Platform,DS,2008,0
1.46,0.8013698624648151,0.1369863012760367,0.0273972602552073,WCW vs the World,Fighting,PS,1998,0
1.46,0.554794520167949,0.3150684929348846,0.0273972602552073,Battlefield: Bad Company,Shooter,X360,2008,0
1.45,0.5724137927086801,0.331034482530321,0.0137931034387633,Homefront,Shooter,X360,2011,0
1.45,0.2551724136171224,0.3241379308109393,0.3724137928466112,Onimusha 3: Demon Siege,Action,PS2,2004,0
1.45,0.7448275856932224,0.0758620689131985,0.0,Madden NFL 15,Sports,PS3,2014,0
1.45,0.4896551720760998,0.3793103445659929,0.0,Red Dead Revolver,Shooter,PS2,2004,0
1.45,0.3724137928466112,0.241379310178359,0.3172413790915577,Resident Evil: Outbreak,Action,PS2,2003,0
1.45,0.0,0.0,0.993103447590963,Tamagotchi,Simulation,GB,1996,0
1.45,0.0,0.0,0.9999999993103448,4 Nin uchi Mahjong,Misc,NES,1984,0
1.45,0.0,0.0,0.9999999993103448,Dragon Ball Z,Fighting,SNES,1993,0
1.45,0.0,0.0,0.993103447590963,Game de Hakken!! Tamagotchi 2,Simulation,GB,1997,0
1.45,0.8551724132033294,0.1172413792294887,0.020689655158145,Namco Museum 64,Misc,N64,1999,0
1.45,0.5379310341117717,0.310344827372176,0.020689655158145,Mass Effect 2,Role-Playing,PS3,2011,0
1.45,0.7034482753769322,0.220689655020214,0.0,LEGO Battles: Ninjago,Strategy,DS,2011,0
1.45,0.9517241372746728,0.0344827585969084,0.0,Tony Hawk's American Wasteland (Weekly american sales),Sports,PS2,2005,0
1.45,0.6137931030249703,0.2137931033008323,0.0068965517193816,NBA 2K14,Sports,PS4,2013,0
1.44,0.5347222218508874,0.3402777775414737,0.0208333333188657,The House of the Dead 2 & 3 Return,Shooter,Wii,2008,0
1.44,0.0277777777584876,0.7499999994791667,0.0,SingStar Pop,Misc,PS2,2007,0
1.44,0.1805555554301697,0.0486111110773534,0.7569444439187886,Kirby Super Star,Platform,SNES,1996,0
1.44,0.4236111108169367,0.4722222218942901,0.0,Sonic & Sega All-Stars Racing,Racing,Wii,2010,0
1.44,0.6736111106433256,0.236111110947145,0.0,Disney Infinity,Action,X360,2013,0
1.44,0.2569444442660108,0.6180555551263504,0.0,My Word Coach,Misc,DS,2007,0
1.44,0.7152777772810571,0.2222222220679012,0.0,Tiger Woods PGA Tour 2005,Sports,PS2,2004,0
1.44,0.805555554996142,0.0555555555169753,0.0,NCAA Football 2003,Sports,PS2,2002,0
1.43,0.6643356638710939,0.2587412585603207,0.0,Star Wars: The Force Unleashed II,Action,X360,2010,0
1.43,0.5594405590493423,0.377622377358306,0.0,Frogger 2: Swampy's Revenge,Action,PS,1999,0
1.43,0.6433566429067437,0.2657342655484376,0.0,WWE SmackDown vs Raw 2008,Fighting,X360,2007,0
1.43,0.6433566429067437,0.2727272725365544,0.0,Kinect Joy Ride,Racing,X360,2010,0
1.43,0.3636363633820725,0.5244755241087584,0.0,Smarty Pants,Misc,Wii,2007,0
1.43,0.3706293703701893,0.3986013983226563,0.0,SNK vs. Capcom: The Match of the Millennium,Fighting,PSP,2006,0
1.43,0.5734265730255758,0.1608391607266859,0.2447552445840872,Disney's DuckTales,Platform,GB,1988,0
1.43,0.7832167826690792,0.1328671327742188,0.0,Disney Princess: Magical Jewels,Adventure,DS,2007,0
1.43,0.0,0.0,0.9720279713482322,Classic NES Series: Super Mario Bros.,Platform,GBA,2004,0
1.43,0.5524475520612255,0.377622377358306,0.0,Triple Play 2000,Sports,PS,1999,0
1.43,0.0,0.7902097896571959,0.0,Anno 2070,Strategy,PC,2011,0
1.43,0.6713286708592107,0.2307692306078537,0.0,Hasbro Family Game Night,Puzzle,Wii,2008,0
1.42,0.5140845066802222,0.2957746476790319,0.0,Sonic Rivals,Racing,PSP,2006,0
1.42,0.528169013712557,0.3239436617437016,0.0070422535161674,BioShock,Shooter,PS3,2008,0
1.42,0.4436619715185479,0.3943661969053759,0.0211267605485022,Mass Effect 3,Role-Playing,PS3,2012,0
1.42,0.4929577461317199,0.380281689873041,0.0,Cabela's Big Game Hunter,Sports,PS2,2002,0
1.42,0.9507042246826028,0.0352112675808371,0.0,NBA Live 06 (Weekly american sales),Sports,PS2,2005,0
1.42,0.3380281687760365,0.5422535207448919,0.0,SimCity (2013),Simulation,PC,2013,0
1.42,0.626760562938901,0.1549295773556833,0.1549295773556833,The Legend of Zelda: The Minish Cap,Action,GBA,2004,0
1.42,0.809859154359254,0.0563380281293394,0.0,NFL Street,Sports,PS2,2004,0
1.42,0.4014084504215433,0.0845070421940091,0.4999999996478872,Super Metroid,Action,SNES,1994,0
1.42,0.0845070421940091,0.0,0.9154929571017656,Pro Yakyuu Family Stadium '87,Sports,NES,1987,0
1.42,0.5140845066802222,0.3380281687760365,0.0,Dead Space 2,Shooter,PS3,2011,0
1.42,0.5633802812933942,0.330985915259869,0.0,Tiger Woods PGA Tour 09 All-Play,Sports,Wii,2008,0
1.42,0.3169014082275342,0.2605633800981948,0.3098591547113667,Metal Gear Rising: Revengeance,Action,PS3,2013,0
1.42,0.4436619715185479,0.2676056336143622,0.2464788730658599,Resident Evil (Remake),Action,GC,2002,0
1.42,0.8591549289724261,0.0422535210970045,0.0140845070323348,Rayman Raving Rabbids,Misc,Wii,2006,0
1.41,0.0638297871887732,0.0496453900357124,0.8794326234897641,Dragon Quest Monsters: Joker 2,Role-Playing,DS,2010,0
1.41,0.5673758861224285,0.2836879430612142,0.0141843971530607,UFC Undisputed 2010,Fighting,PS3,2010,0
1.41,0.7730496448418088,0.1985815601428499,0.0,LEGO Star Wars: The Video Game,Action,GC,2005,0
1.41,0.340425531673457,0.439716311744882,0.0425531914591821,Medal of Honor: Warfighter,Action,PS3,2012,0
1.41,0.6879432619234445,0.2624113473316231,0.021276595729591,Disney's The Lion King,Platform,GEN,1994,0
1.41,0.6028368790050802,0.3049645387908052,0.0,Sonic's Ultimate Genesis Collection,Misc,X360,2009,0
1.41,0.5531914889693678,0.3617021274030481,0.0,Hello Kitty Party,Misc,DS,2007,0
1.41,0.4042553188622302,0.4893617017805945,0.0,The Sims 3,Simulation,Wii,2010,0
1.41,0.7234042548060963,0.2411347516020321,0.0,Knockout Kings 2000,Fighting,PS,1999,0
1.41,0.0,0.3333333330969267,0.5460992903928374,Gran Turismo 4 Prologue,Racing,PS2,2003,-1
1.41,0.638297871887732,0.2765957444846839,0.0,Diablo III,Role-Playing,X360,2013,0
1.41,0.8439716306071123,0.120567375801016,0.0,Twisted Metal: Black,Racing,PS2,2001,0
1.41,0.4893617017805945,0.3829787231326392,0.0,NASCAR 2005: Chase for the Cup,Racing,PS2,2004,0
1.4,0.6785714280867347,0.2357142855459184,0.0,Fight Night Round 4,Fighting,X360,2009,0
1.4,0.7642857137397959,0.1999999998571428,0.0,Spider-Man: The Movie,Action,XB,2002,0
1.4,0.4142857139897959,0.3571428568877551,0.0,LEGO Star Wars II: The Original Trilogy,Action,PSP,2006,0
1.4,0.6357142852602041,0.2785714283724489,0.0,Dead Space,Action,X360,2008,0
1.4,0.2714285712346939,0.0571428571020408,0.0214285714132653,Need For Speed: Undercover,Racing,PS2,2008,0
1.4,0.8214285708418366,0.142857142755102,0.0,2Xtreme,Sports,PS,1996,0
1.4,0.6428571423979592,0.2714285712346939,0.0,LEGO Indiana Jones 2: The Adventure Continues,Action,Wii,2009,0
1.4,0.2571428569591836,0.3142857140612245,0.2285714284081632,Ridge Racer,Racing,PSP,2004,0
1.4,0.5285714281938776,0.3714285711632653,0.0571428571020408,Sonic Advance 3,Platform,GBA,2004,0
1.4,0.0,0.0,0.9928571421479592,Final Fantasy III,Role-Playing,NES,1990,0
1.4,0.3357142854744898,0.4642857139540816,0.0428571428265306,Tomb Raider (2013),Action,PS4,2014,0
1.4,0.0214285714132653,0.7499999994642857,0.0142857142755102,Colin McRae Rally 3,Racing,PS2,2002,0
1.4,0.3571428568877551,0.5571428567448979,0.0071428571377551,Forza Horizon 2,Racing,XOne,2014,0
1.39,0.5611510787329849,0.3812949637544641,0.0,Madden NFL 2002,Sports,PS,2001,0
1.39,0.0,0.1366906473836757,0.848920862698618,Inazuma Eleven 2,Role-Playing,DS,2009,0
1.39,0.8561151072977589,0.1151079135862533,0.0,NBA Jam,Sports,SNES,1994,0
1.39,0.7553956829097873,0.1223021581853941,0.1079136689871124,Teenage Mutant Ninja Turtles III: The Manhattan Project,Action,NES,1991,0
1.39,0.1726618703793799,0.1294964027845349,0.6546762585218157,Dynasty Warriors 5,Action,PS2,2005,0
1.39,0.6258992801252523,0.2733812947673515,0.0,Hannah Montana: Spotlight World Tour,Action,Wii,2007,0
1.38,0.7028985502152909,0.2173913041902961,0.0,Injustice: Gods Among Us,Fighting,X360,2013,0
1.38,0.3115942026727578,0.4999999996376811,0.0072463768063432,Far Cry 2,Action,PS3,2008,0
1.38,0.3478260867044738,0.3840579707361899,0.2028985505776097,Yoshi's New Island,Platform,3DS,2014,0
1.38,0.6521739125708885,0.2681159418346986,0.0,LEGO Batman 2: DC Super Heroes,Action,Wii,2012,0
1.38,0.6956521734089477,0.2681159418346986,0.0,True Crime: Streets of LA,Action,XB,2003,0
1.38,0.4565217387996219,0.4492753619932787,0.0,Toy Story 3: The Video Game,Action,Wii,2010,0
1.38,0.3623188403171603,0.2318840578029825,0.355072463510817,Bravely Default: Flying Fairy,Role-Playing,3DS,2012,0
1.38,0.601449274926486,0.3115942026727578,0.0,Ryse: Son of Rome,Action,XOne,2013,0
1.38,0.7463768110533502,0.1521739129332073,0.0,Mortal Kombat X,Fighting,XOne,2015,0
1.38,0.4202898547679058,0.1304347825141777,0.4275362315742491,Paper Mario,Role-Playing,N64,2000,0
1.38,0.3985507243488763,0.5072463764440244,0.0144927536126864,Rise of the Tomb Raider,Adventure,XOne,2015,0
1.38,0.5579710140884269,0.3913043475425331,0.0,Duke Nukem: Time to Kill,Shooter,PS,1998,0
1.38,0.5144927532503676,0.3840579707361899,0.0,Sonic Generations,Platform,X360,2011,0
1.38,0.4855072460249948,0.3840579707361899,0.0,Dave Mirra Freestyle BMX 2,Sports,PS2,2001,0
1.38,0.913043477599244,0.0144927536126864,0.0,Bakugan: Battle Brawlers,Action,DS,2009,0
1.37,0.4379562040598859,0.0072992700676647,0.0,LEGO Indiana Jones: The Original Adventures,Action,PS2,2008,0
1.37,0.5547445251425221,0.3430656931802439,0.0145985401353295,Deus Ex: Human Revolution,Shooter,X360,2011,0
1.37,0.5547445251425221,0.3795620435185678,0.0,A Collection of Activision Classic Games for the Atari 2600,Misc,PS,1998,0
1.37,0.2408759122329372,0.2992700727742554,0.3941605836538973,Final Fantasy XII: Revenant Wings,Role-Playing,DS,2007,0
1.37,0.5839416054131813,0.3284671530449145,0.0,Call of Duty: Black Ops,Shooter,Wii,2010,0
1.37,0.3649635033832382,0.4306569339922211,0.0510948904736533,Deus Ex: Human Revolution,Shooter,PS3,2011,0
1.37,0.7226277366988118,0.2408759122329372,0.0,Star Wars Knights of the Old Republic II: The Sith Lords,Role-Playing,XB,2004,0
1.37,0.0,0.0,0.9999999992700728,Pocket Monsters Stadium,Strategy,N64,1998,0
1.37,0.3576642333155735,0.4014598537215621,0.0,The Sims 2,Simulation,PSP,2005,0
1.36,0.3161764703557525,0.4117647055795848,0.1102941175659601,Dead Rising 2,Action,PS3,2010,0
1.36,0.1764705881055363,0.5147058819744809,0.1176470587370242,Ridge Racer 7,Racing,PS3,2006,0
1.36,0.632352940711505,0.3308823526978806,0.0,Tom Clancy's Ghost Recon 2,Shooter,XB,2004,0
1.36,0.4632352937770328,0.4191176467506487,0.0,Need for Speed: The Run,Action,X360,2011,0
1.36,0.4632352937770328,0.4852941172902248,0.0,Crash Bandicoot 2: N-Tranced,Platform,GBA,2003,0
1.36,0.6397058818825692,0.2499999998161764,0.014705882342128,Titanfall,Shooter,X360,2014,0
1.36,0.1691176469344723,0.029411764684256,0.0,SingStar Abba,Misc,PS2,2008,0
1.36,0.1985294116187283,0.0588235293685121,0.7352941171064012,Gradius,Shooter,NES,1986,0
1.36,0.0,0.0,0.9999999992647058,Dragon Quest III: Soshite Densetsu e...,Role-Playing,SNES,1996,0
1.36,0.9264705875540656,0.0588235293685121,0.0,Centipede,Shooter,2600,1981,0
1.36,0.4926470584612888,0.3823529408953287,0.0,Dead to Rights,Shooter,PS2,2002,0
1.35,0.3777777774979423,0.4444444441152262,0.0,WWE '13,Action,PS3,2012,0
1.35,0.0,0.0,0.9333333326419752,Dance Dance Revolution (Japan),Simulation,PS,1999,0
1.35,0.5185185181344306,0.3851851848998628,0.0,Hasbro Family Game Night 2,Misc,Wii,2009,0
1.35,0.9555555548477366,0.0222222222057613,0.0,Madden NFL 98,Sports,PS,1997,0
1.35,0.5851851847517147,0.3111111108806584,0.0074074074019204,Gardening Mama,Puzzle,DS,2009,0
1.35,0.4666666663209876,0.4222222219094649,0.0074074074019204,Burnout Paradise,Racing,X360,2008,0
1.35,0.5407407403401919,0.3703703700960219,0.0074074074019204,Middle-Earth: Shadow of Mordor,Action,XOne,2014,0
1.35,0.3185185182825788,0.4814814811248284,0.0148148148038408,MotorStorm: Pacific Rift,Racing,PS3,2008,0
1.35,0.1629629628422496,0.0370370370096021,0.7851851846035665,Samurai Warriors,Action,PS2,2004,0
1.35,0.2888888886748971,0.6444444439670781,0.0,Battlefield 4,Shooter,PC,2013,0
1.35,0.5185185181344306,0.4296296293113854,0.0,The Simpsons: Hit & Run,Racing,XB,2003,0
1.35,0.5777777773497942,0.3259259256844993,0.0,Gears of War 4,Shooter,XOne,2016,0
1.35,0.1111111110288065,0.0296296296076817,0.7925925920054869,SaGa Frontier,Role-Playing,PS,1997,0
1.35,0.0,0.7703703697997256,0.0,SingStar Party,Misc,PS2,2004,0
1.35,0.1481481480384087,0.5629629625459533,0.0,FIFA Soccer 08,Sports,PSP,2007,0
1.35,0.1703703702441701,0.5407407403401919,0.0148148148038408,FIFA Soccer 09,Sports,PSP,2008,0
1.35,0.9037037030342934,0.0222222222057613,0.0,Disney Princess: Enchanted Journey,Adventure,Wii,2007,0
1.35,0.2296296294595335,0.659259258770919,0.0074074074019204,FIFA Soccer 08,Sports,X360,2007,0
1.34,0.7089552233515258,0.1567164177934951,0.007462686561595,Test Drive,Racing,PS2,2002,0
1.34,0.5895522383660058,0.2537313430942303,0.05970149249276,Devil May Cry 4,Action,X360,2008,0
1.34,0.4925373130652706,0.3283582087101804,0.02985074624638,Tom Clancy's Rainbow Six: Vegas 2,Shooter,PS3,2008,0
1.34,0.6343283577355757,0.2014925371630652,0.0970149253007351,Metroid: Other M,Action,Wii,2010,0
1.34,0.5298507458732457,0.3656716415181554,0.01492537312319,Crysis 2,Action,X360,2011,0
1.34,0.4552238802572955,0.1194029849855201,0.3656716415181554,Chrono Trigger,Role-Playing,DS,2008,0
1.34,0.6044776114891958,0.2089552237246602,0.0820895521775451,Marvel vs. Capcom 3: Fate of Two Worlds,Fighting,PS3,2011,0
1.34,0.768656715844286,0.2014925371630652,0.0,Mortal Kombat 3,Fighting,GEN,1994,0
1.34,0.6343283577355757,0.3208955221485854,0.0,Doom 3,Shooter,XB,2005,0
1.34,0.5746268652428157,0.3358208952717754,0.0,Tom Clancy's Rainbow Six: Siege,Shooter,XOne,2015,0
1.34,0.1865671640398752,0.5597014921196257,0.05970149249276,F1 2010,Racing,PS3,2010,0
1.34,0.1791044774782802,0.022388059684785,0.768656715844286,Monster Hunter Freedom,Role-Playing,PSP,2005,0
1.34,0.6268656711739807,0.1641791043550902,0.1791044774782802,Donkey Kong Jungle Beat,Platform,GC,2004,0
1.34,0.9104477605145912,0.037313432807975,0.037313432807975,Need for Speed Carbon,Racing,PS2,2006,0
1.34,0.813432835213856,0.02985074624638,0.0746268656159501,Lost Planet: Extreme Condition,Shooter,X360,2006,0
1.34,0.9850746261305412,0.01492537312319,0.0,Command & Conquer: Red Alert 2,Strategy,PC,2000,0
